order_number,order_type,department,order_date,inspection_date_started,inspection_date_completed,buyer_name,shipper_name,vessel_carrier,bill_of_lading,bill_of_lading_date,inspection_place,client_ref_code,client_trade_name,client_Name,client_address,client_address,client_address,contact_name,contact_phone,contact_email,commodity_name,item_description,quantity,unit_name
ICG11-020,International,CG,8/3/2011,,,ALIMPORT - CUBA,"S.P.A INTTERNATIONAL FOOD GROUP CO., LTD - THAILAND",CONT,,,THAILAND,CMi1103-0611,"S.P.A INTERNATIONAL FOOD GROUP CO., LTD","S.P.A INTERNATIONAL FOOD GROUP CO., LTD","20/1 M.9, SAM-NGAM, DONTOOM, NAKHONPATHOM, 73150, THAILAND","20/1 M.9, SAM-NGAM, DONTOOM, NAKHONPATHOM, 73150, THAILAND","20/1 M.9, SAM-NGAM, DONTOOM, NAKHONPATHOM, 73150, THAILAND",,,,TUNA FISH IN OIL,CANNED TUNA FISH IN OIL,2,Cont(s)
ICG11-021,International,CG,1/4/2011,,,EMPRESA IMPORTADORA EXPORTADORA DEL MINIL,CASABLANCA S.A,CONTS,,,INDONESIA,CMi1103-0871,CASABLANCA S.A,CASABLANCA S.A,"CALLE 16 Y 17 LOTE #13 EDIFICIO HAYATUR P.O BOX 0302-00494 FREE ZONE, REPUBLICA DE PANAMA","CALLE 16 Y 17 LOTE #13 EDIFICIO HAYATUR P.O BOX 0302-00494 FREE ZONE, REPUBLICA DE PANAMA","CALLE 16 Y 17 LOTE #13 EDIFICIO HAYATUR P.O BOX 0302-00494 FREE ZONE, REPUBLICA DE PANAMA",,,,PAPER,BOND PAPER 75 GMS/M2 IN REAMS,6,Cont(s)
ICG11-022,International,CG,1/4/2011,,,EMPRESA IMPORTADORA EXPORTADORA DEL MINIL,CASABLANCA S.A,CONTS,,,INDONESIA,CMi1103-0873,CASABLANCA S.A,CASABLANCA S.A,"CALLE 16 Y 17 LOTE #13 EDIFICIO HAYATUR P.O BOX 0302-00494 FREE ZONE, REPUBLICA DE PANAMA","CALLE 16 Y 17 LOTE #13 EDIFICIO HAYATUR P.O BOX 0302-00494 FREE ZONE, REPUBLICA DE PANAMA","CALLE 16 Y 17 LOTE #13 EDIFICIO HAYATUR P.O BOX 0302-00494 FREE ZONE, REPUBLICA DE PANAMA",,,,PAPER,BOND PAPER 75 CMS/M2 IN REAMS AND REELS,6,Cont(s)
ICG11-023,International,CG,1/4/2011,,,EMPRESA IMPORTADORA EXPORTADORA DEL MINIL,CASABLANCA S.A,CONTS,,,INDONESIA,CMi1103-0874,CASABLANCA S.A,CASABLANCA S.A,"CALLE 16 Y 17 LOTE #13 EDIFICIO HAYATUR P.O BOX 0302-00494 FREE ZONE, REPUBLICA DE PANAMA","CALLE 16 Y 17 LOTE #13 EDIFICIO HAYATUR P.O BOX 0302-00494 FREE ZONE, REPUBLICA DE PANAMA","CALLE 16 Y 17 LOTE #13 EDIFICIO HAYATUR P.O BOX 0302-00494 FREE ZONE, REPUBLICA DE PANAMA",,,,PAPER,BOND PAPER 75 GMS/M2 IN REELS,12,Cont(s)
ICG11-024,International,CG,1/4/2011,,,EMPRESA IMPORTADORA EXPORTADORA DEL MINIL,CASABLANCA S.A,CONTS,,,INDONESIA,CMi1103-0875,CASABLANCA S.A,CASABLANCA S.A,"CALLE 16 Y 17 LOTE #13 EDIFICIO HAYATUR P.O BOX 0302-00494 FREE ZONE, REPUBLICA DE PANAMA","CALLE 16 Y 17 LOTE #13 EDIFICIO HAYATUR P.O BOX 0302-00494 FREE ZONE, REPUBLICA DE PANAMA","CALLE 16 Y 17 LOTE #13 EDIFICIO HAYATUR P.O BOX 0302-00494 FREE ZONE, REPUBLICA DE PANAMA",,,,PAPER,BOND PAPER 75 GMS/M2 IN REELS,17,Cont(s)
ICG11-025,International,CG,1/4/2011,,,EMPRESA IMPORTADORA EXPORTADORA DEL MINIL,CASABLANCA S.A,CONTS,,,INDONESIA,CMi1103-0877,CASABLANCA S.A,CASABLANCA S.A,"CALLE 16 Y 17 LOTE #13 EDIFICIO HAYATUR P.O BOX 0302-00494 FREE ZONE, REPUBLICA DE PANAMA","CALLE 16 Y 17 LOTE #13 EDIFICIO HAYATUR P.O BOX 0302-00494 FREE ZONE, REPUBLICA DE PANAMA","CALLE 16 Y 17 LOTE #13 EDIFICIO HAYATUR P.O BOX 0302-00494 FREE ZONE, REPUBLICA DE PANAMA",,,,PAPER,BOND PAPER 75 GMS/M2 IN REELS,2,Cont(s)
ICG11-026,International,CG,1/4/2011,,,EMPRESA IMPORTADORA EXPORTADORA DEL MINIL,CASABLANCA S.A,CONTS,,,INDONESIA,CMi1103-0878,CASABLANCA S.A,CASABLANCA S.A,"CALLE 16 Y 17 LOTE #13 EDIFICIO HAYATUR P.O BOX 0302-00494 FREE ZONE, REPUBLICA DE PANAMA","CALLE 16 Y 17 LOTE #13 EDIFICIO HAYATUR P.O BOX 0302-00494 FREE ZONE, REPUBLICA DE PANAMA","CALLE 16 Y 17 LOTE #13 EDIFICIO HAYATUR P.O BOX 0302-00494 FREE ZONE, REPUBLICA DE PANAMA",,,,PAPER,BOND PAPER 75 GMS/MS IN REELS,4,Cont(s)
ICG11-027,International,CG,1/4/2011,,,EMPRESA IMPORTADORA EXPORTADORA DEL MINIL,CASABLANCA S.A,CONTS,,,INDONESIA,CMi1103-0882,CASABLANCA S.A,CASABLANCA S.A,"CALLE 16 Y 17 LOTE #13 EDIFICIO HAYATUR P.O BOX 0302-00494 FREE ZONE, REPUBLICA DE PANAMA","CALLE 16 Y 17 LOTE #13 EDIFICIO HAYATUR P.O BOX 0302-00494 FREE ZONE, REPUBLICA DE PANAMA","CALLE 16 Y 17 LOTE #13 EDIFICIO HAYATUR P.O BOX 0302-00494 FREE ZONE, REPUBLICA DE PANAMA",,,,PAPER,BOND PAPER 60/75 GMS/M2 IN REAMS,9,Cont(s)
ICG11-028,International,CG,1/4/2011,,,EMPRESA IMPORTADORA EXPORTADORA DEL MINIL,CASABLANCA S.A,CONTS,,,INDONESIA,,CASABLANCA S.A,CASABLANCA S.A,"CALLE 16 Y 17 LOTE #13 EDIFICIO HAYATUR P.O BOX 0302-00494 FREE ZONE, REPUBLICA DE PANAMA","CALLE 16 Y 17 LOTE #13 EDIFICIO HAYATUR P.O BOX 0302-00494 FREE ZONE, REPUBLICA DE PANAMA","CALLE 16 Y 17 LOTE #13 EDIFICIO HAYATUR P.O BOX 0302-00494 FREE ZONE, REPUBLICA DE PANAMA",,,,PAPER,BOND PAPER 60/75 GMS/M2 IN REAMS,15,Cont(s)
ICG11-031,International,CG,13/04/2011,,,EMPRESA COMERCIALIZADORA Y EXPORTADORA DIVEP,CABRERA Y PEREZ,CONTS,,,THAILAND,CMi1104-0976,CABRERA Y PÉREZ S.L,CABRERA Y PÉREZ S.L,"C/Venegas 45, Planta 4a 35003 Las Palmas de Gran Canaria Espana","C/Venegas 45, Planta 4a 35003 Las Palmas de Gran Canaria Espana","C/Venegas 45, Planta 4a 35003 Las Palmas de Gran Canaria Espana",,,,EQUIPMENT,COMPRESSORS,1218,Unit(s)
ICG11-032,International,CG,22/04/2011,,,G COMER EMPRESARIAL CARACOL SA,TBA,CONT,,,"1/1 PHAM VAN THUAN, TAM HOP WARD, BIEN HOA",CMi1104-0998-1,"LG ELECTRONICS THAI LAND CO., LTD","LG ELECTRONICS THAI LAND CO., LTD",,,,,,,SHOES,SPORT SANDAL,1,Cont(s)
ICG11-033,International,CG,4/5/2011,,,EMPRESA IMPORTADORA EXPORTADORA DEL MINIL,CASABLANCA S.A,CONTS,,,PT. PINDO - INDONESIA,,CASABLANCA S.A,CASABLANCA S.A,"CALLE 16 Y 17 LOTE #13 EDIFICIO HAYATUR P.O BOX 0302-00494 FREE ZONE, REPUBLICA DE PANAMA","CALLE 16 Y 17 LOTE #13 EDIFICIO HAYATUR P.O BOX 0302-00494 FREE ZONE, REPUBLICA DE PANAMA","CALLE 16 Y 17 LOTE #13 EDIFICIO HAYATUR P.O BOX 0302-00494 FREE ZONE, REPUBLICA DE PANAMA",,,,PAPER,BOND PAPER 75GRS/M2 IN REELS,12,Cont(s)
ICG11-034,International,CG,4/5/2011,,,GRUPO EMPRESARIAL COMERCIALIZADORA ITH,UNITED PRODUCTS TTD - IRELAND,CONTS,,,"PHUC YEN SHOES - PHUC YEN TOWN, VN",,"LG ELECTRONICS THAI LAND CO., LTD","LG ELECTRONICS THAI LAND CO., LTD",,,,,,,SHOES,SPORT SHOES,1,Cont(s)
ICG11-035,International,CG,20/05/2011,20/05/2011,,ALIMPORT - CUBA,CONSERVAS CAMBADOS ESPANA,CONTS,,,S.P.A COMPANY - THAILAND,,"LG ELECTRONICS THAI LAND CO., LTD","LG ELECTRONICS THAI LAND CO., LTD",,,,,,,TUNA FISH IN OIL,CANNED TUNA FISH,1,Cont(s)
